name,label,width,height
C100P61ThinF_IMG_20150918_144104_cell_162,Parasitized,142,148
C100P61ThinF_IMG_20150918_144104_cell_163,Parasitized,148,208
C100P61ThinF_IMG_20150918_144104_cell_164,Parasitized,139,151
C100P61ThinF_IMG_20150918_144104_cell_165,Parasitized,145,154
C100P61ThinF_IMG_20150918_144104_cell_166,Parasitized,133,154
C100P61ThinF_IMG_20150918_144104_cell_167,Parasitized,169,145
C100P61ThinF_IMG_20150918_144104_cell_168,Parasitized,139,139
C100P61ThinF_IMG_20150918_144104_cell_169,Parasitized,154,124
C100P61ThinF_IMG_20150918_144104_cell_170,Parasitized,124,148
C100P61ThinF_IMG_20150918_144104_cell_171,Parasitized,139,142
C100P61ThinF_IMG_20150918_144348_cell_138,Parasitized,154,154
C100P61ThinF_IMG_20150918_144348_cell_139,Parasitized,169,139
C100P61ThinF_IMG_20150918_144348_cell_140,Parasitized,136,142
C100P61ThinF_IMG_20150918_144348_cell_141,Parasitized,151,136
C100P61ThinF_IMG_20150918_144348_cell_142,Parasitized,136,163
C100P61ThinF_IMG_20150918_144348_cell_143,Parasitized,127,133
C100P61ThinF_IMG_20150918_144348_cell_144,Parasitized,133,136
C100P61ThinF_IMG_20150918_144823_cell_157,Parasitized,151,151
C100P61ThinF_IMG_20150918_144823_cell_158,Parasitized,163,205
C100P61ThinF_IMG_20150918_144823_cell_159,Parasitized,139,157
C100P61ThinF_IMG_20150918_144823_cell_160,Parasitized,142,133
C100P61ThinF_IMG_20150918_144823_cell_161,Parasitized,127,145
C100P61ThinF_IMG_20150918_144823_cell_162,Parasitized,121,115
C100P61ThinF_IMG_20150918_145042_cell_162,Parasitized,142,139
C100P61ThinF_IMG_20150918_145042_cell_163,Parasitized,136,151
C100P61ThinF_IMG_20150918_145042_cell_164,Parasitized,127,136
C100P61ThinF_IMG_20150918_145042_cell_165,Parasitized,124,97
C100P61ThinF_IMG_20150918_145042_cell_166,Parasitized,160,160
C100P61ThinF_IMG_20150918_145042_cell_167,Parasitized,127,118
C100P61ThinF_IMG_20150918_145422_cell_163,Parasitized,127,133
C100P61ThinF_IMG_20150918_145422_cell_164,Parasitized,142,166
C100P61ThinF_IMG_20150918_145422_cell_165,Parasitized,145,112
C100P61ThinF_IMG_20150918_145422_cell_166,Parasitized,151,130
C100P61ThinF_IMG_20150918_145422_cell_167,Parasitized,130,130
C100P61ThinF_IMG_20150918_145422_cell_168,Parasitized,121,136
C100P61ThinF_IMG_20150918_145422_cell_169,Parasitized,148,148
C100P61ThinF_IMG_20150918_145609_cell_144,Parasitized,130,154
C100P61ThinF_IMG_20150918_145609_cell_145,Parasitized,121,136
C100P61ThinF_IMG_20150918_145609_cell_146,Parasitized,172,151
C100P61ThinF_IMG_20150918_145609_cell_147,Parasitized,190,139
C100P61ThinF_IMG_20150918_145609_cell_148,Parasitized,139,154
C100P61ThinF_IMG_20150918_145609_cell_149,Parasitized,130,133
C100P61ThinF_IMG_20150918_145609_cell_150,Parasitized,163,187
C100P61ThinF_IMG_20150918_145609_cell_151,Parasitized,130,115
C100P61ThinF_IMG_20150918_145938_cell_167,Parasitized,154,136
C100P61ThinF_IMG_20150918_145938_cell_168,Parasitized,151,127
C100P61ThinF_IMG_20150918_145938_cell_169,Parasitized,148,184
C100P61ThinF_IMG_20150918_145938_cell_170,Parasitized,127,154
C100P61ThinF_IMG_20150918_145938_cell_171,Parasitized,127,118
C100P61ThinF_IMG_20150918_145938_cell_172,Parasitized,118,136
C100P61ThinF_IMG_20150918_145938_cell_173,Parasitized,163,166
C100P61ThinF_IMG_20150918_145938_cell_174,Parasitized,157,121
C100P61ThinF_IMG_20150918_145938_cell_175,Parasitized,145,130
C100P61ThinF_IMG_20150918_150041_cell_146,Parasitized,148,172
C100P61ThinF_IMG_20150918_150041_cell_147,Parasitized,136,145
C100P61ThinF_IMG_20150918_150041_cell_148,Parasitized,142,139
C100P61ThinF_IMG_20150918_150041_cell_149,Parasitized,130,151
C101P62ThinF_IMG_20150918_151006_cell_61,Parasitized,127,151
C101P62ThinF_IMG_20150918_151006_cell_62,Parasitized,118,133
C101P62ThinF_IMG_20150918_151006_cell_63,Parasitized,130,139
